title,release_date,recommend,user_id
Lost Summoner Kitty,2018-01-04,True,Wackky
Ironbound,2018-01-04,True,kevinator23
Real Pool D  Poolians,2017-07-24,True,Lord_Exploit
Battle Royale Trainer,2018-01-04,True,2768820078
SNOW  All Access Pro Pass,2018-01-04,True,1337lolroflmao
SNOW  All Access Legend Pass,2018-01-04,False,Mastic
Army of Tentacles Not A Cthulhu Dating Sim Black GOAT of the Woods Edition,2018-01-04,True,Mastic
Beach Rules,2018-01-04,True,76561198104393251
Planetarium   Zen Odyssey,2018-01-03,True,H1DD3NT3RR0R
The first thrust of God,2018-01-03,True,H1DD3NT3RR0R
SNOW  Starter Pack,2018-01-03,True,pikawuu2
The first thrust of God  All Aircrafts,2018-01-03,True,76561198145436942
SNOW  Lifetime Pack,2018-01-03,False,Forty-Nine
The Warrior Of Treasures,2018-01-03,False,750805
RC Plane   Canyon Scenario,2017-12-22,False,750805
RC Plane   FB,2017-12-23,False,76561198054465623
DinoBlaster,2018-01-03,False,76561198074323290
Carmageddon Max Pack,1997-06-30,False,76561198003056556
HalfLife,1998-11-08,False,AMV72
Fallen Mage,2016-11-25,False,76561198039441595
Vaporwave Simulator,2018-01-01,True,armouredmarshmallow
Bitcoin Clicker,2018-01-01,True,armouredmarshmallow
Disciples II Galleans Return,2006-07-06,True,armouredmarshmallow
Disciples II Rise of the Elves,2006-07-06,True,armouredmarshmallow
The Ship Murder Party,2006-07-11,True,Astrelt
Souland,2017-12-29,True,76561198056980314
TAROTICA VOO DOO,2017-12-29,True,76561198057389499
Chronicles of Vinland,2017-12-29,False,76561198030735076
Orbitality,2017-12-29,True,Bonesdontrattlethem
Atomic Adam Episode ,2017-12-30,True,76561198062403736
Advent Rising,2005-08-09,True,hididdlyhoe
DEFCON,2006-09-29,True,dicksoutforboromir
The Ship Single Player,2006-11-20,True,ByzGirl
Garrys Mod,2006-11-29,True,calii
RACE  The WTCC Game,2006-11-24,False,76561198058842042
Zen of Sudoku,2006-12-14,True,Axzothrift
Gumboy  Crazy Adventures,2006-12-19,True,chidvd
Ghost Master,2003-08-23,True,SmeshDoge
Vegas Make It Big,2006-12-21,True,harrisonnorris
Dreamfall The Longest Journey,2006-04-17,True,76561198142474106
FlatOut ,2006-08-01,True,ciborg2000
FlatOut,2005-07-12,True,Norf_Norf
Lost Planet Extreme Condition,2007-06-26,True,Norf_Norf
CivCity Rome,2006-07-24,True,Norf_Norf
Arx Fatalis,2002-11-12,True,Norf_Norf
The Longest Journey,2000-11-17,True,Norf_Norf
Civilization IV Warlords,2006-07-24,True,Norf_Norf
Railroad Tycoon ,2003-10-23,True,Norf_Norf
Sid Meiers Railroads,2006-10-16,False,76561198041840982
Railroad Tycoon II Platinum,1998-10-31,False,76561198126142125
XCOM Terror From the Deep,1995-04-01,True,cruzercru
Tomb Raider Anniversary,2007-06-05,True,76561198044594262
Devil May Cry  Special Edition,2006-05-23,True,blablabla174
Sam amp Max  Culture Shock,2006-10-17,True,digfernandes
Final DOOM,1996-06-17,True,digfernandes
Sam amp Max  Situation Comedy,2006-12-20,True,DrVendax
Ultimate Doom,1995-04-30,True,DrVendax
Master Levels for Doom II,1995-06-01,True,XavvPlays
DOOM II,1994-05-05,True,76561198103524411
Wolfenstein D,1994-08-03,True,izumireina
Return to Castle Wolfenstein,2001-11-20,True,BajanCanidian
QUAKE Mission Pack  Scourge of Armagon,1997-02-28,True,Fluphy_
Spear of Destiny,1993-10-10,True,Frankaloons
BloodRayne,2003-09-09,True,idsoftwaresquake
QUAKE Mission Pack  Dissolution of Eternity,2007-08-03,False,Gterrestrial
QUAKE,2007-05-31,True,Halio99
Genesis Rising,2007-03-20,False,DeliciousPuddin
Warhammer  Dawn of War  Winter Assault,2006-01-01,False,harrylolman
BioShock,2007-08-21,True,fil96
Warhammer  Dawn of War  Game of the Year Edition,2006-01-01,True,TDOJ3DTDO
Warhammer  Dawn of War  Dark Crusade,2006-10-09,True,Hollowfun
Rome Total War  Collection,2004-09-22,True,IrishNZ
Rome Total War  Alexander,2006-06-26,True,tickets845
Mystery Case Files Madame Fate,2007-12-14,False,Infinitespeed
Manhunt,2004-04-20,True,76561198088860621
Midnight Club ,2003-07-01,True,ironcass
Max Payne  The Fall of Max Payne,2003-10-14,True,ironcass
