genres,release_date,playtime_forever,item_id
Action Indie,2016-05-12,255613.0,4000.0
Action,2015-09-11,189556.0,730.0
Simulation,2017-05-05,184933.0,550.0
Simulation,2016-12-07,116186.0,550.0
Simulation,2017-12-06,94431.0,4000.0
Strategy,2013-06-24,93131.0,730.0
Action Indie,2016-09-30,85635.0,730.0
Simulation,2017-03-30,84234.0,4000.0
Action,2014-10-02,74076.0,730.0
Action,2012-07-24,68976.0,4000.0
Simulation,2016-11-11,66464.0,9900.0
Simulation,2017-03-08,64541.0,50130.0
Simulation,2017-09-26,64279.0,107410.0
Strategy,2016-10-17,62197.0,730.0
Action,2014-11-26,61193.0,730.0
Simulation,2017-06-16,59192.0,4000.0
Strategy,2012-07-11,58707.0,39210.0
Action,2015-01-15,57204.0,730.0
Action Indie,2017-05-04,56968.0,113400.0
Simulation,2016-07-28,55168.0,730.0
Action,2007-06-12,53502.0,230410.0
Action Indie,2013-07-11,52062.0,12210.0
Simulation,2017-08-04,49322.0,730.0
Action Indie,2016-11-04,47054.0,730.0
Strategy,2016-03-01,45855.0,221100.0
Simulation,2015-10-22,45015.0,730.0
Simulation,2017-06-08,43782.0,730.0
Strategy,2016-04-26,42482.0,4000.0
Action,2017-05-11,41730.0,230410.0
Simulation,2016-12-21,41114.0,203290.0
Action Indie,2016-09-12,39351.0,730.0
Strategy,2010-11-10,38761.0,271590.0
Strategy,2012-02-13,38094.0,236390.0
Action Indie,Nov 2016,37016.0,4000.0
Simulation,2016-11-09,36840.0,4000.0
Action,2016-06-02,36303.0,730.0
Action Indie,2017-04-14,35998.0,252950.0
Strategy,2012-10-16,35524.0,271590.0
Simulation,2016-01-12,32142.0,730.0
Simulation,2017-10-06,30778.0,4000.0
Simulation,2017-05-03,30425.0,226700.0
Action Indie,2016-10-14,30338.0,200210.0
Strategy,2017-07-27,29299.0,230410.0
Action Indie,2017-02-13,28663.0,730.0
Strategy,2001-11-06,28467.0,730.0
Action Indie,2017-10-10,26620.0,252490.0
Strategy,2013-05-23,26466.0,244770.0
Simulation,2009-07-30,26014.0,730.0
Action,2016-02-23,25930.0,212680.0
Action,2011-03-22,25355.0,730.0
