item_id,app_name,user_id,_Action,_Action Adventure,_Action Adventure Casual Free to Play Indie RPG,_Action Adventure Casual Indie,_Action Adventure Casual Indie RPG Strategy,_Action Adventure Casual Indie Strategy Early Access,_Action Adventure Free to Play Massively Multiplayer RPG,_Action Adventure Indie,_Action Adventure Indie Early Access,_Action Adventure Indie Massively Multiplayer,_Action Adventure Indie RPG,_Action Adventure Indie RPG Early Access,_Action Adventure Indie Racing,_Action Adventure Indie Simulation,_Action Adventure Indie Simulation Strategy,_Action Adventure Indie Strategy,_Action Adventure RPG,_Action Adventure Strategy,_Action Casual Indie,_Action Casual Indie Massively Multiplayer,_Action Casual Indie RPG Simulation Strategy,_Action Casual Indie Racing,_Action Casual Indie Simulation,_Action Casual Indie Simulation Strategy,_Action Casual Indie Sports,_Action Casual Indie Strategy,_Action Casual Indie Strategy Early Access,_Action Early Access,_Action Free to Play,_Action Free to Play Indie RPG Strategy,_Action Free to Play Massively Multiplayer RPG,_Action Free to Play Massively Multiplayer Racing Early Access,_Action Indie,_Action Indie Early Access,_Action Indie Massively Multiplayer,_Action Indie RPG Early Access,_Action Indie RPG Strategy,_Action Indie Simulation Early Access,_Action Indie Sports,_Action Indie Strategy,_Action Indie Strategy Early Access,_Action Massively Multiplayer,_Action Massively Multiplayer RPG,_Action Massively Multiplayer Racing,_Action RPG,_Action RPG Indie,_Action RPG Simulation,_Action Racing,_Action Sports,_Action Strategy,_Adventure,_Adventure Casual,_Adventure Casual Free to Play Indie RPG,_Adventure Casual Free to Play Indie Simulation Sports Strategy,_Adventure Casual Indie,_Adventure Casual Indie RPG,_Adventure Casual Indie RPG Simulation Strategy,_Adventure Casual Indie Simulation,_Adventure Casual Indie Strategy,_Adventure Free to Play Indie RPG,_Adventure Free to Play Simulation,_Adventure Indie,_Adventure Indie Early Access,_Adventure Indie RPG,_Adventure Indie RPG Simulation,_Adventure Indie Simulation,_Adventure Indie Simulation Early Access,_Adventure RPG,_Animation amp Modeling Design amp Illustration Education Photo Editing Software Training Utilities Video Production,_Animation amp Modeling Design amp Illustration Education Software Training Utilities,_Audio Production,_Casual,_Casual Free to Play Indie Simulation Sports Strategy,_Casual Free to Play Indie Strategy,_Casual Free to Play RPG,_Casual Indie,_Casual Indie Early Access,_Casual Indie RPG Strategy,_Casual Indie Simulation,_Casual Indie Simulation Sports Strategy,_Casual Indie Simulation Strategy,_Casual Indie Strategy,_Casual Simulation,_Design amp Illustration Web Publishing,_Free to Play Action Strategy Indie Sports,_Free to Play Massively Multiplayer RPG,_Free to Play RPG Strategy,_Free to Play Simulation,_Indie,_Indie Casual,_Indie Early Access,_Indie RPG,_Indie RPG Simulation Early Access,_Indie RPG Simulation Strategy,_Indie RPG Strategy,_Indie Racing Simulation Sports Early Access,_Indie Racing Sports Early Access,_Indie Simulation,_Indie Simulation Early Access,_Indie Simulation Strategy,_Indie Simulation Strategy Early Access,_Indie Strategy,_RPG,_RPG Indie,_RPG Strategy,_Racing Simulation,_Racing Simulation Sports,_Racing Sports,_Simulation,_Simulation Sports,_Simulation Strategy,_Simulation Strategy Early Access,_Sports,_Strategy
10,Pool Nation FX Lite,jonasdbomb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,The Aquatic Adventure of the Last Human  Deluxe Extras,76561198089393905,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Manyland,jonasdbomb,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,The Ritual on Weylyn Island,jonasdbomb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,BOROS,sad-commie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Beach Rules,76561197970982479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,MX vs ATV Supercross Encore   Suzuki RMZ MX,76561198089393905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
360,Street Fighter X Tekken Street Fighter Boost Gem Pack ,POOTISSPENSOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Trump Simulator ,ABSOLUTLY_NOTHING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,HITMAN Blood Money Requiem Pack,PPanther,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
