genres,release_date,playtime_forever,user_id
Action Indie,2016-05-12,255613.0,thequeenpanda
Action,2015-09-11,189556.0,76561197990792016
Simulation,2017-05-05,184933.0,wirlom
Simulation,2016-12-07,116186.0,YoHuNz
Simulation,2017-12-06,94431.0,76561198070194565
Strategy,2013-06-24,93131.0,76561198066835162
Action Indie,2016-09-30,85635.0,76561198073210139
Simulation,2017-03-30,84234.0,76561198048353577
Action,2014-10-02,74076.0,MinxIsBetterThanPotatoes
Action,2012-07-24,68976.0,POOTISSPENSOR
Simulation,2016-11-11,66464.0,76561198060447950
Simulation,2017-03-08,64541.0,76561198030567998
Simulation,2017-09-26,64279.0,76561198075895633
Strategy,2016-10-17,62197.0,76561198052897627
Action,2014-11-26,61193.0,getf0kinn0sc0pedm9
Simulation,2017-06-16,59192.0,76561198102421718
Strategy,2012-07-11,58707.0,angorabug
Action,2015-01-15,57204.0,Myther43
Action Indie,2017-05-04,56968.0,76561198056741844
Simulation,2016-07-28,55168.0,76561198056290589
Action,2007-06-12,53502.0,76561198149432604
Action Indie,2013-07-11,52062.0,Riot-Punch
Simulation,2017-08-04,49322.0,76561198099905030
Action Indie,2016-11-04,47054.0,76561198056857968
Strategy,2016-03-01,45855.0,76561198073784601
Simulation,2015-10-22,45015.0,Lord_Exploit
Simulation,2017-06-08,43782.0,KanadeTheNeko
Strategy,2016-04-26,42482.0,shinra420
Action,2017-05-11,41730.0,FrystHjarte
Simulation,2016-12-21,41114.0,fdcfelipefdc
Action Indie,2016-09-12,39351.0,76561198072186059
Strategy,2010-11-10,38761.0,washington_
Strategy,2012-02-13,38094.0,ZyhgarThestarweaver
Action Indie,Nov 2016,37016.0,sergarino
Simulation,2016-11-09,36840.0,whiteofwolfing
Action,2016-06-02,36303.0,76561198097762318
Action Indie,2017-04-14,35998.0,76561198066046412
Strategy,2012-10-16,35524.0,EizanAratoFujimaki
Simulation,2016-01-12,32142.0,de_Butl3r
Simulation,2017-10-06,30778.0,76561198094630961
Simulation,2017-05-03,30425.0,76561198056741844
Action Indie,2016-10-14,30338.0,76561198081962345
Strategy,2017-07-27,29299.0,yookobz
Action Indie,2017-02-13,28663.0,Coldaniel
Strategy,2001-11-06,28467.0,2xDelorean
Action Indie,2017-10-10,26620.0,CaptianAutismo
Strategy,2013-05-23,26466.0,DieMadchenschanderin
Simulation,2009-07-30,26014.0,76561198065771371
Action,2016-02-23,25930.0,76561198064823719
Action,2011-03-22,25355.0,washington_
